message_id,project_id,content,reason,confidence,created_at,feedback,user_id,context_id,content_type,image_url
4a7153c6-8df7-4709-9a82-14badf297b16,1185d5c6-5703-443c-b64d-6bd632cb7e38,Ur so ridicuus about other peoples bussiness u should have just left chat and let them do them,Content flagged for Harassment,81,2025-09-28 01:44:42.145301+00,,D6BAE6944F1D1D14,300346_Room,text,
3e5f7829-da23-4478-9426-25ceb741d83c,1185d5c6-5703-443c-b64d-6bd632cb7e38,I'm going to say no okay I love you though Even if I might die as long as you know I love you,Content flagged for Self-Harm,82,2025-09-28 01:45:44.043881+00,,1A84FCF433702A43,300346_PM,text,
c998b860-1c8f-4ab8-bd07-ed50f3acd457,1185d5c6-5703-443c-b64d-6bd632cb7e38,Shes not annoying shes js dmb,Content flagged for Hate and Discrimination,81,2025-09-28 01:52:17.827104+00,,D6BAE6944F1D1D14,300346_PM,text,
42a9b8a4-bd9d-4fd6-8e43-bb00dd8cf3ea,abd05de6-468e-4f6c-9c14-bff3e4934e2a,Pm if your romantic...,Suggestive content.,80,2025-10-07 01:28:06.156257+00,,250B708EABEA0038,Global,text,
b9607f2e-e91b-42b4-a2b1-3d73f82a8da7,abd05de6-468e-4f6c-9c14-bff3e4934e2a,Colton: Colton Gets Off player At The Bakery Not Hurting Anyone And Not Hard -:,"Suggestive content, potentially inappropriate for under 12s.",80,2025-10-09 01:42:42.045525+00,,DC6CC40384DC367C,Room_349832HorsingAround,text,
940629db-618e-4ad9-9171-28ae380b925d,1185d5c6-5703-443c-b64d-6bd632cb7e38,i'm dead,Content flagged for Self-Harm,85,2025-10-09 01:42:45.615521+00,,840837E1844B2B70,300363_PM,text,
ec17745f-5e67-4924-b9fc-5d55b591433c,abd05de6-468e-4f6c-9c14-bff3e4934e2a,omfgareukiddinme,Severe profanity,80,2025-10-09 01:44:54.978118+00,,ED5099A671334A39,Global,text,
785cebf0-542f-44ca-b93d-b73b4a42e87f,1185d5c6-5703-443c-b64d-6bd632cb7e38,I hate ppl,Content flagged for Hate and Discrimination,92,2025-10-09 01:45:00.664714+00,,78C7B222CF0B21FB,300363_Room,text,
6ed1681e-fa10-4fcb-844b-138bea0206e0,abd05de6-468e-4f6c-9c14-bff3e4934e2a,Like is u easy,Suggestive content.,80,2025-10-09 01:45:01.609897+00,,C5379452044F5C4,PM_Bear Prince9807_Quinn Dazzler6996,text,
6366d04e-8ef5-4b0f-bf4e-9bbd02d4db80,1185d5c6-5703-443c-b64d-6bd632cb7e38,I h8 ppl sm,Content flagged for Hate and Discrimination,93,2025-10-09 01:45:08.166855+00,,78C7B222CF0B21FB,300363_Room,text,
16e33858-44ba-462d-be30-0805000aa142,abd05de6-468e-4f6c-9c14-bff3e4934e2a,"I'm running away, do U want to come?",Suggestion of self-harm/danger.,90,2025-10-09 01:45:50.086472+00,,197D2DBA6EDBBAA3,Room_957326Wild rp!,text,
848643cd-d51a-43ab-894e-df69a80c776a,abd05de6-468e-4f6c-9c14-bff3e4934e2a,If u touch player kiss u will regret,Suggestive content.,70,2025-10-09 01:46:26.78009+00,,123F36ED766CBB8D,PM_Forever Moon1251_Silver Star8055,text,
f75a7613-c1e0-4989-9029-7b555328a797,abd05de6-468e-4f6c-9c14-bff3e4934e2a,I'm running away do U want to come with me,Suggests self-harm/dangerous activity.,90,2025-10-09 01:46:27.361385+00,,197D2DBA6EDBBAA3,Room_957326Wild rp!,text,
86de1ab5-47a0-448a-86d6-c46e4f75ab90,abd05de6-468e-4f6c-9c14-bff3e4934e2a,:0 ungrateful German rat -.-,Insulting and derogatory language.,90,2025-10-09 01:46:27.890632+00,,DEF19278970BCD9,Global,text,
e7a49fe0-653c-4ca1-a4ff-ac72b99f6ab2,abd05de6-468e-4f6c-9c14-bff3e4934e2a,player litterally Harasses people,Harassment is a violation of the policy.,80,2025-10-09 01:46:30.770673+00,,6392DD00246261E4,Global,text,
7446a4f4-b076-428a-952d-672dc0fe9c23,abd05de6-468e-4f6c-9c14-bff3e4934e2a,You will be removed from game if u speak on here again,"Threatening language, potentially harassing.",80,2025-10-09 01:46:47.030333+00,,123F36ED766CBB8D,PM_Forever Moon1251_Silver Star8055,text,
ad34570b-9efa-48f0-82d4-53add1763182,1185d5c6-5703-443c-b64d-6bd632cb7e38,yo bugueo mi personaje para que me de capitulos gratis sin tener que Aser nada,Content flagged for Dangerous and Criminal Content,97,2025-10-09 01:47:05.260457+00,,840837E1844B2B70,300363_PM,text,
efede7f7-66b0-4be5-bc9b-91ab09c46588,1185d5c6-5703-443c-b64d-6bd632cb7e38,Not that kind of horn at you idiot,Content flagged for Harassment,88,2025-10-09 01:49:25.181432+00,,12DC26D8D2953BAE,300363_Room,text,
7620dd35-c54f-42ba-b76c-a68fb44c1741,abd05de6-468e-4f6c-9c14-bff3e4934e2a,-she licks the tip and looks into his eyes while eating,Sexually suggestive content.,90,2025-10-09 01:52:11.119595+00,,156FA3D475620704,PM_Daisy Jet9184_Jasmine Walker6510,text,
3be32de0-aa1d-4e0f-bb4f-fe2b79004ced,abd05de6-468e-4f6c-9c14-bff3e4934e2a,Nero: No one likes u dude,Harassment,70,2025-10-09 01:52:18.073398+00,,77350353E61BAEE9,PM_Paige Everly5731_Melody Angel6266,text,
49080138-9777-4deb-b071-b01e10d226cf,abd05de6-468e-4f6c-9c14-bff3e4934e2a,Astrid: how is it fine? I feel like there is not point in life,"Content expresses suicidal ideation, which is inappropriate for under 12s",80,2025-10-09 01:53:00.020488+00,,E850E15BB11B32DA,Global,text,
